date,indice-mes,indice-acc-ano,indice-acc-12-meses,nro-indice-acc-Jan-93
2004-01-01,0.76,0.76,7.7072,578.9231
2004-02-01,0.61,1.37,6.6892,582.4545
2004-03-01,0.47,1.85,5.8882,585.192
2004-04-01,0.37,2.23,5.259,587.3573
2004-05-01,0.51,2.75,5.1544,590.3528
2004-06-01,0.71,3.48,6.0601,594.5443
2004-07-01,0.91,4.42,6.8116,599.9546
2004-08-01,0.69,5.14,7.1842,604.0943
2004-09-01,0.33,5.49,6.7056,606.0878
2004-10-01,0.44,5.95,6.8652,608.7546
2004-11-01,0.69,6.68,7.2379,612.955
2004-12-01,0.86,7.60,7.6006,618.2264
2005-01-01,0.58,0.58,7.4084,621.8122
2005-02-01,0.59,1.17,7.3871,625.4808
2005-03-01,0.61,1.79,7.5367,629.2963
2005-04-01,0.87,2.68,8.0724,634.7712
2005-05-01,0.49,3.18,8.0509,637.8815
2005-06-01,-0.02,3.16,7.2677,637.754
2005-07-01,0.25,3.42,6.5661,639.3483
2005-08-01,0.17,3.59,6.0158,640.4352
2005-09-01,0.35,3.95,6.0369,642.6768
2005-10-01,0.75,4.73,6.3642,647.4968
2005-11-01,0.55,5.31,6.2163,651.0581
2005-12-01,0.36,5.69,5.6897,653.4019
2006-01-01,0.59,0.59,5.7002,657.2569
2006-02-01,0.41,1.00,5.5111,659.9517
2006-03-01,0.43,1.44,5.3223,662.7895
2006-04-01,0.21,1.65,4.6332,664.1814
2006-05-01,0.10,1.75,4.2271,664.8455
2006-06-01,-0.21,1.54,4.029,663.4494
2006-07-01,0.19,1.73,3.9668,664.7099
2006-08-01,0.05,1.78,3.8422,665.0423
2006-09-01,0.21,2.00,3.6974,666.4389
2006-10-01,0.33,2.33,3.2651,668.6381
2006-11-01,0.31,2.65,3.0186,670.7109
2006-12-01,0.48,3.14,3.1418,673.9303
2007-01-01,0.44,0.44,2.988,676.8956
2007-02-01,0.44,0.88,3.0187,679.8739
2007-03-01,0.37,1.26,2.9571,682.3894
2007-04-01,0.25,1.51,2.9982,684.0953
2007-05-01,0.28,1.79,3.1834,686.0108
2007-06-01,0.28,2.08,3.6901,687.9316
2007-07-01,0.24,2.32,3.7419,689.5828
2007-08-01,0.47,2.80,4.1774,692.8238
2007-09-01,0.18,2.99,4.146,694.0709
2007-10-01,0.30,3.30,4.1151,696.1531
2007-11-01,0.38,3.69,4.1876,698.7984
2007-12-01,0.74,4.46,4.4572,703.9695
2008-01-01,0.54,0.54,4.5612,707.7709
2008-02-01,0.49,1.03,4.6133,711.2389
2008-03-01,0.48,1.52,4.7279,714.6528
2008-04-01,0.55,2.08,5.0413,718.5834
2008-05-01,0.79,2.88,5.5755,724.2602
2008-06-01,0.74,3.64,6.0598,729.6197
2008-07-01,0.53,4.19,6.3668,733.487
2008-08-01,0.28,4.48,6.1656,735.5407
2008-09-01,0.26,4.76,6.2504,737.4531
2008-10-01,0.45,5.23,6.4093,740.7717
2008-11-01,0.36,5.61,6.3881,743.4385
2008-12-01,0.28,5.90,5.9023,745.5201
2009-01-01,0.48,0.48,5.8391,749.0986
2009-02-01,0.55,1.03,5.9023,753.2186
2009-03-01,0.20,1.23,5.6072,754.7251
2009-04-01,0.48,1.72,5.5337,758.3477
2009-05-01,0.47,2.20,5.1986,761.912
2009-06-01,0.36,2.57,4.8018,764.6549
2009-07-01,0.24,2.81,4.4995,766.49
2009-08-01,0.15,2.97,4.364,767.6397
2009-09-01,0.24,3.21,4.3431,769.482
2009-10-01,0.28,3.50,4.1666,771.6367
2009-11-01,0.41,3.93,4.2185,774.8004
2009-12-01,0.37,4.31,4.312,777.6671
2010-01-01,0.75,0.75,4.5923,783.4996
2010-02-01,0.78,1.54,4.8315,789.6109
2010-03-01,0.52,2.06,5.1664,793.7169
2010-04-01,0.57,2.65,5.2606,798.2411
2010-05-01,0.43,3.09,5.2187,801.6735
2010-06-01,0.00,3.09,4.8412,801.6735
2010-07-01,0.01,3.10,4.6007,801.7537
2010-08-01,0.04,3.14,4.4858,802.0744
2010-09-01,0.45,3.60,4.7046,805.6837
2010-10-01,0.75,4.38,5.1954,811.7264
2010-11-01,0.83,5.25,5.6354,818.4637
2010-12-01,0.63,5.91,5.909,823.62
2011-01-01,0.83,0.83,5.9932,830.456
2011-02-01,0.80,1.64,6.0142,837.0997
2011-03-01,0.79,2.44,6.299,843.7128
2011-04-01,0.77,3.23,6.5104,850.2094
2011-05-01,0.47,3.71,6.5528,854.2054
2011-06-01,0.15,3.87,6.7126,855.4867
2011-07-01,0.16,4.04,6.8727,856.8554
2011-08-01,0.37,4.42,7.2252,860.0258
2011-09-01,0.53,4.97,7.3106,864.5839
2011-10-01,0.43,5.43,6.9698,868.3017
2011-11-01,0.52,5.97,6.6409,872.8168
2011-12-01,0.50,6.50,6.5031,877.1809
2012-01-01,0.56,0.56,6.2178,882.0931
2012-02-01,0.45,1.01,5.8491,886.0625
2012-03-01,0.21,1.22,5.2399,887.9232
2012-04-01,0.64,1.87,5.1042,893.606
2012-05-01,0.36,2.24,4.9892,896.823
2012-06-01,0.08,2.32,4.9157,897.5404
2012-07-01,0.43,2.76,5.1986,901.3998
2012-08-01,0.41,3.18,5.2405,905.0956
2012-09-01,0.57,3.77,5.2824,910.2546
2012-10-01,0.59,4.38,5.45,915.6251
2012-11-01,0.60,5.01,5.534,921.1189
2012-12-01,0.79,5.84,5.8386,928.3957
2013-01-01,0.86,0.86,6.1543,936.3799
2013-02-01,0.60,1.47,6.3128,941.9982
2013-03-01,0.47,1.94,6.5887,946.4256
2013-04-01,0.55,2.50,6.4933,951.6309
2013-05-01,0.37,2.88,6.504,955.152
2013-06-01,0.26,3.15,6.6955,957.6354
2013-07-01,0.03,3.18,6.2706,957.9227
2013-08-01,0.24,3.43,6.0906,960.2217
2013-09-01,0.35,3.79,5.8586,963.5824
2013-10-01,0.57,4.38,5.8375,969.0749
2013-11-01,0.54,4.95,5.7744,974.3079
2013-12-01,0.92,5.91,5.9108,983.2715
2014-01-01,0.55,0.55,5.5853,988.6795
2014-02-01,0.69,1.24,5.6798,995.5014
2014-03-01,0.92,2.18,6.1531,1004.66
2014-04-01,0.67,2.86,6.2798,1011.3912
2014-05-01,0.46,3.33,6.3751,1016.0436
2014-06-01,0.40,3.75,6.5236,1020.1078
2014-07-01,0.01,3.76,6.5023,1020.2098
2014-08-01,0.25,4.02,6.5129,1022.7603
2014-09-01,0.57,4.61,6.7465,1028.5901
2014-10-01,0.42,5.05,6.5872,1032.9101
2014-11-01,0.51,5.58,6.5554,1038.178
2014-12-01,0.78,6.41,6.41,1046.28
2015-01-01,1.24,1.24,7.14,1059.25
2015-02-01,1.22,2.48,7.7,1072.17
2015-03-01,1.32,3.83,8.13,1086.33
2015-04-01,0.71,4.57,8.17,1094.04
2015-05-01,0.74,5.34,8.47,1102.13
2015-06-01,0.79,6.17,8.89,1110.84
2015-07-01,0.62,6.83,9.56,1117.73
2015-08-01,0.22,7.06,9.53,1120.19
2015-09-01,0.54,7.64,9.49,1126.24
2015-10-01,0.82,8.53,9.93,1135.47
2015-11-01,1.01,9.62,10.48,1146.94
2015-12-01,0.96,10.67,10.67,1157.95
2016-01-01,1.27,1.27,10.71,1172.66
2016-02-01,0.90,2.18,10.36,1183.21
2016-03-01,0.43,2.62,9.3869,1188.3
2016-04-01,0.61,3.25,9.2783,1195.55
2016-05-01,0.78,4.05,9.3217,1204.87
2016-06-01,0.35,4.42,8.8445,1209.09
2016-07-01,0.52,4.96,8.7363,1215.38
2016-08-01,0.44,5.42,8.975,1220.72
2016-09-01,0.08,5.51,8.4764,1221.7
2016-10-01,0.26,5.78,7.8739,1224.88
2016-11-01,0.18,5.97,6.9875,1227.08
2016-12-01,0.30,6.29,6.2881,1230.76
2017-01-01,0.38,0.38,5.354,1235.44
2017-02-01,0.33,0.71,4.7588,1239.52
2017-03-01,0.25,0.96,4.571,1242.62
2017-04-01,0.14,1.10,4.0825,1244.35
2017-05-01,0.31,1.42,3.5971,1248.21
2017-06-01,-0.23,1.18,2.9984,1245.34
2017-06-01,0.24,1.43,2.7115,1248.33
2017-08-01,0.19,1.62,2.4558,1250.7
2017-09-01,0.16,1.7827,2.5377,1252.70
2017-10-01,0.42,2.2102,2.7013,1257.96
